Gender,Marital_Status,Dependents,Employment_Type,Education_Level,Annual_Income,Monthly_Expenses,Business_Income,Job_Stability_Years,Existing_EMI,Loan_Type,Loan_Amount,Property_Value,Document_Status,Bank_Balance,Savings_Balance,Eligibility_Status
female,single,2,private,postgraduate,2045869,45549,31325,6,94199,personal,1086451,4705947,verified,317305,164376,Fully Eligible
male,married,3,self-employed,postgraduate,2126249,28791,156407,7,108497,education,1825490,8093474,verified,449362,80139,Fully Eligible
female,single,2,government,graduate,1711469,18013,140608,14,264000,home,569364,1699554,unverified,173247,176971,Fully Eligible
male,single,2,government,postgraduate,393982,3567,293229,9,176869,business,1700169,11118314,verified,24271,51829,Fully Eligible
male,married,1,government,graduate,1043837,19900,426503,11,42830,education,522856,1523363,verified,124896,37022,Fully Eligible
male,single,1,government,graduate,218767,3836,270144,9,124607,education,1239040,5194951,verified,36093,15835,Partially Eligible
male,married,1,private,postgraduate,958468,11650,479341,14,280023,car,1262269,4357251,verified,170592,57237,Fully Eligible
female,married,1,private,graduate,849562,18854,342921,2,76603,personal,1714301,9980486,verified,133581,80570,Fully Eligible
female,married,2,self-employed,non-graduate,1885483,38825,159263,1,155736,home,1150867,8088120,verified,257526,59016,Fully Eligible
female,single,1,private,postgraduate,1388216,17964,228914,13,83848,personal,1072332,6683226,verified,342999,188670,Fully Eligible
male,married,3,private,graduate,2208225,46128,95160,7,142500,education,514422,3278201,verified,414485,276029,Fully Eligible
male,single,3,private,postgraduate,621071,7711,12967,6,89644,home,1193475,3452143,unverified,149530,26396,Fully Eligible
male,single,1,private,graduate,2402518,47060,124481,10,83787,business,768055,4757951,verified,204967,329369,Fully Eligible
female,single,0,private,graduate,1825514,18819,437790,10,237510,personal,304190,855580,verified,456212,222865,Fully Eligible
male,married,3,private,graduate,2103391,41795,406462,13,110491,personal,708308,3485607,verified,400908,304566,Fully Eligible
female,single,3,private,graduate,1665622,20508,203075,10,80563,business,1448649,8633546,verified,407060,101666,Fully Eligible
female,married,1,government,graduate,1928403,34469,497591,12,242635,education,1635651,6172412,verified,330139,255753,Fully Eligible
female,married,1,private,non-graduate,1675292,18776,14347,4,222626,personal,1750279,10349121,verified,135365,79530,Fully Eligible
female,single,2,government,graduate,1564935,31975,329502,11,53057,car,1765904,12189423,verified,187190,177704,Fully Eligible
female,single,3,private,postgraduate,523356,4892,477160,11,284057,car,672577,4633939,verified,31715,20210,Fully Eligible
female,married,1,private,graduate,1141124,12655,146454,9,103384,home,1251828,4331974,verified,91620,132031,Fully Eligible
male,married,1,private,graduate,1234891,14080,459936,1,216765,business,1372985,5316991,unverified,308328,59535,Fully Eligible
male,married,2,private,graduate,562606,5076,211207,7,278996,education,1149926,6704285,verified,131181,66500,Fully Eligible
female,single,3,self-employed,postgraduate,457572,9494,344443,5,57984,car,1394708,9353718,verified,105407,37872,Fully Eligible
female,single,1,self-employed,graduate,259999,6417,98032,5,290651,home,467146,2231132,verified,13105,12000,Fully Eligible
male,single,2,self-employed,graduate,848246,18073,116815,6,172468,home,1494129,10624751,verified,118846,83604,Fully Eligible
female,single,1,government,graduate,1928131,43724,342440,2,106469,personal,1120805,6022166,verified,397971,63559,Fully Eligible
female,single,0,private,postgraduate,407111,3433,139879,11,258252,education,668885,2548276,verified,38806,23801,Fully Eligible
male,married,0,private,graduate,783216,8065,164275,14,291869,car,1053139,2737982,verified,104962,50964,Fully Eligible
female,single,1,private,postgraduate,1693950,29898,431001,11,25531,business,1070221,6995814,verified,154120,252479,Fully Eligible
female,single,3,private,graduate,220428,5429,183373,3,53769,personal,289889,859237,verified,41558,27628,Fully Eligible
female,married,0,private,postgraduate,2232826,43194,460299,11,192108,car,126223,365064,unverified,426036,150596,Fully Eligible
male,married,2,private,graduate,2177686,31726,316186,9,132757,home,1854110,11839728,verified,232019,160703,Fully Eligible
male,single,1,private,graduate,1824002,19642,25710,4,54663,business,1694471,4504325,verified,265316,150659,Fully Eligible
male,married,2,private,graduate,956834,10410,326622,6,165002,home,1027918,6901236,unverified,134283,119281,Fully Eligible
female,single,0,private,non-graduate,1004564,14444,41411,13,211609,personal,558700,3069287,verified,206534,112209,Fully Eligible
female,single,3,self-employed,graduate,1591814,32202,277917,13,125842,business,359008,2040144,verified,294540,151228,Fully Eligible
male,single,2,self-employed,non-graduate,2101462,18626,463107,3,239005,business,1718241,12354591,verified,133746,175772,Fully Eligible
female,married,0,self-employed,graduate,591742,13335,80693,3,220855,personal,1092323,7464342,verified,47465,35808,Fully Eligible
female,single,0,self-employed,graduate,864257,20764,15710,9,119430,home,941228,2710714,verified,188402,72960,Fully Eligible
female,single,0,private,graduate,1663105,38495,122785,9,178705,business,602557,4076254,verified,404318,204840,Fully Eligible
female,single,2,private,graduate,703142,16559,449219,13,145544,education,487563,2845283,verified,124650,58869,Fully Eligible
female,married,0,private,non-graduate,399257,3429,424787,3,72085,education,1953771,7978939,verified,49090,37078,Partially Eligible
male,single,1,self-employed,postgraduate,2039431,50230,357559,3,89678,home,1719616,11636304,verified,192147,144041,Fully Eligible
female,single,0,self-employed,postgraduate,1946516,28106,125585,6,84424,business,697290,1824455,verified,386795,171798,Fully Eligible
male,single,1,private,postgraduate,526950,12025,219310,13,238678,home,1925647,12878186,verified,93628,63861,Fully Eligible
female,single,3,private,graduate,759498,8693,393927,1,71678,education,1163777,6518262,verified,176036,106824,Fully Eligible
male,married,1,government,non-graduate,1513315,23873,382651,14,103632,business,1276322,4857476,verified,349010,135445,Fully Eligible
female,married,3,private,graduate,2212054,20062,175721,5,12511,business,1835496,4643411,verified,246504,105667,Fully Eligible
male,single,3,self-employed,postgraduate,1757552,15820,387002,9,296188,home,843043,4305105,verified,370112,216024,Fully Eligible
female,single,1,private,graduate,1318187,31708,284033,9,177602,business,1006331,4640475,verified,132766,159575,Fully Eligible
male,single,3,private,non-graduate,1323753,28915,424520,8,97320,home,1429695,9740138,verified,273220,147069,Fully Eligible
female,single,1,self-employed,postgraduate,810150,13905,269583,6,195549,car,161184,1037956,unverified,67745,81008,Fully Eligible
male,single,2,self-employed,non-graduate,2191174,37449,356053,14,81328,car,1250860,6815047,verified,261934,150005,Fully Eligible
female,married,3,self-employed,graduate,808980,16836,243897,9,128743,education,1099459,3577909,verified,54354,96895,Fully Eligible
male,married,1,private,graduate,864367,12125,223883,3,160282,education,412601,2529499,verified,94349,128001,Fully Eligible
male,married,3,private,graduate,905485,19043,497540,13,130896,personal,1385324,7575106,verified,102891,78150,Fully Eligible
female,married,0,self-employed,postgraduate,784498,12878,303270,9,214344,car,1713461,4476788,unverified,144140,38860,Fully Eligible
female,married,1,private,postgraduate,1439402,27298,170126,8,238499,car,360951,2277252,verified,277878,82039,Fully Eligible
male,married,0,private,graduate,1366366,33358,266732,12,166787,personal,1970474,13120603,verified,229013,83160,Fully Eligible
female,single,3,government,graduate,332872,5388,346183,1,234340,home,1298872,8277023,verified,67911,35394,Fully Eligible
male,married,3,private,graduate,217192,3324,7511,9,45262,car,434670,1469902,verified,30475,26503,Fully Eligible
male,single,2,private,non-graduate,1696382,39744,453106,8,139675,car,1206092,6045539,verified,297855,122008,Fully Eligible
male,single,1,self-employed,graduate,2273145,53137,22674,8,14936,education,109891,564445,verified,276986,267790,Fully Eligible
female,married,0,government,postgraduate,1511689,37601,392804,6,290713,personal,426245,3056932,verified,233201,61313,Fully Eligible
male,single,2,private,graduate,367919,6443,56820,9,214472,personal,522177,3722087,verified,28775,50645,Fully Eligible
male,single,3,private,graduate,1985073,27932,103761,8,144925,education,988225,2778292,verified,341825,75677,Fully Eligible
female,married,3,self-employed,non-graduate,2071095,25556,361556,2,282935,car,1564607,11728272,verified,188446,261542,Fully Eligible
female,single,2,self-employed,graduate,2334625,20781,444208,6,127804,business,1200901,7725936,verified,331920,269022,Fully Eligible
female,single,0,self-employed,graduate,1681171,34372,76666,12,82419,personal,1788216,7828198,verified,307806,180631,Fully Eligible
female,married,3,private,graduate,2100931,25683,19238,11,43657,car,249954,1553817,verified,284818,78357,Fully Eligible
male,married,3,private,graduate,1229793,22682,64333,8,37264,home,1191571,5222954,verified,116376,113532,Fully Eligible
male,married,1,self-employed,postgraduate,1294390,30560,347278,14,22064,personal,177754,1276521,unverified,237182,57886,Fully Eligible
male,single,2,government,graduate,713861,17254,189306,13,197362,education,116504,511518,verified,157411,59057,Fully Eligible
male,single,3,government,postgraduate,1054457,8864,42294,13,97881,personal,772824,4892355,verified,158252,53101,Fully Eligible
female,married,0,private,graduate,646212,8800,478576,6,239715,education,1242890,4072168,verified,104382,31376,Fully Eligible
male,married,1,private,non-graduate,1054858,23512,333506,13,218314,home,396348,2679941,verified,135204,104084,Fully Eligible
male,married,2,private,postgraduate,900460,15554,165559,14,228559,car,1211624,6787783,verified,150052,57681,Fully Eligible
female,single,0,government,non-graduate,2101266,45790,68396,11,92764,education,1583604,10353607,verified,313216,257385,Fully Eligible
male,single,3,self-employed,non-graduate,733235,16538,304074,9,45841,education,988340,4536279,verified,146145,44237,Fully Eligible
male,married,2,private,graduate,1414666,22225,175544,12,169930,home,1421902,6016885,verified,138711,99445,Fully Eligible
male,single,2,private,graduate,1617601,23158,327746,5,280842,business,361535,1866645,verified,238181,163391,Fully Eligible
male,married,0,private,postgraduate,527605,8401,24285,8,45561,personal,1244725,5527754,unverified,59748,16355,Fully Eligible
male,single,2,private,graduate,746798,14348,151301,10,176088,business,1369033,6942007,verified,51442,97822,Fully Eligible
male,married,0,self-employed,graduate,2177287,31467,25413,2,201142,personal,1072810,4992034,verified,277169,89261,Fully Eligible
female,married,3,self-employed,graduate,346145,7355,148382,12,36447,home,1742041,6067906,verified,83293,11502,Partially Eligible
female,married,1,private,graduate,2113191,49448,69141,5,259809,home,909313,6713589,verified,300279,259451,Fully Eligible
male,single,0,private,graduate,339262,4423,377172,1,246146,business,798317,2059998,unverified,53984,42736,Fully Eligible
male,married,1,government,graduate,717587,17520,380581,5,50637,home,1392072,9923019,unverified,142403,76381,Fully Eligible
female,married,2,private,graduate,1286422,24071,77113,7,89048,car,524021,3477911,unverified,317694,166959,Fully Eligible
male,single,0,private,postgraduate,816367,18751,24517,1,34817,business,1740344,8013443,verified,108050,114350,Fully Eligible
male,married,3,government,graduate,1752588,17640,245660,13,295768,education,230272,946529,verified,269083,99788,Fully Eligible
male,married,0,self-employed,non-graduate,1563190,19578,209847,10,193009,education,609121,2024372,verified,380953,131173,Fully Eligible
female,married,0,self-employed,graduate,2142576,29318,492653,3,2837,home,918278,2906624,verified,290869,168373,Fully Eligible
male,married,0,private,postgraduate,1179309,15779,152458,6,294264,home,1122827,5899999,unverified,245374,59208,Fully Eligible
female,single,1,private,graduate,2377101,26618,112047,12,294832,personal,199313,603347,verified,329862,147001,Fully Eligible
male,single,1,private,graduate,725056,16533,158037,1,39753,business,1211877,5916815,verified,69263,57341,Fully Eligible
female,single,2,private,graduate,702818,10760,148283,3,166106,business,1667393,10960694,verified,166754,29652,Fully Eligible
female,married,2,self-employed,graduate,1494532,36444,455858,8,294877,car,1220557,7671312,verified,287564,180555,Fully Eligible
male,married,2,private,non-graduate,1079588,19495,207526,9,88246,education,1440463,4555549,verified,240432,111264,Fully Eligible
female,married,2,self-employed,postgraduate,2315843,24640,321669,7,59907,education,1474953,10775092,verified,169559,325921,Fully Eligible
male,single,0,private,graduate,2008979,35020,103453,4,109001,car,1899460,7466491,verified,383676,67793,Fully Eligible
female,single,1,private,graduate,1956078,48691,56170,7,129136,personal,1448629,8732991,verified,348340,211366,Fully Eligible
male,married,1,government,graduate,681133,12092,201699,7,192422,car,435695,1743861,unverified,99986,84614,Fully Eligible
male,single,1,private,graduate,1881029,15733,377216,11,242916,personal,573262,3202889,unverified,147508,171648,Fully Eligible
female,single,1,private,graduate,225993,5397,320085,7,259512,personal,738284,3959006,verified,30047,32971,Fully Eligible
male,married,2,private,non-graduate,838409,10269,360456,8,154721,personal,622096,2109888,verified,145495,29008,Fully Eligible
male,single,0,private,graduate,2401689,47574,65452,11,23855,home,138897,800434,verified,445500,223159,Fully Eligible
female,single,1,private,postgraduate,292981,4956,258183,14,271047,home,1947025,8041272,verified,21503,19790,Partially Eligible
male,single,3,private,postgraduate,1966368,27051,50465,14,291860,personal,124592,692202,verified,272863,288713,Fully Eligible
male,single,0,self-employed,postgraduate,2454386,32014,406479,4,205726,car,102443,533409,verified,331596,355489,Fully Eligible
female,married,3,self-employed,graduate,648573,15444,197586,4,61113,car,1413867,9491660,verified,134416,26999,Fully Eligible
female,single,0,private,postgraduate,1410907,33201,194183,9,258222,car,108424,386852,unverified,82173,108892,Fully Eligible
male,single,0,private,non-graduate,1166383,19695,282251,8,81866,home,1632690,5317772,verified,241555,65875,Fully Eligible
male,single,0,self-employed,graduate,362723,4585,477226,11,188623,personal,1391259,9425070,verified,74976,47006,Fully Eligible
female,married,3,private,graduate,1047512,10516,142440,4,112218,education,1063230,5021346,verified,198418,146035,Fully Eligible
female,single,1,self-employed,non-graduate,1419404,15532,223031,6,202111,car,1587986,10177744,verified,326392,193400,Fully Eligible
male,married,1,self-employed,postgraduate,2241350,38187,478238,9,67888,home,932257,6803484,verified,320588,163252,Fully Eligible
female,single,3,private,graduate,1166208,15701,282281,13,215767,business,1559948,8145480,verified,80722,77276,Fully Eligible
male,single,1,self-employed,graduate,2268443,20494,233120,14,41951,personal,395007,1581370,verified,263820,252145,Fully Eligible
male,single,2,government,graduate,420195,6689,269074,12,167266,car,255921,1656102,verified,72378,59552,Fully Eligible
male,married,1,self-employed,graduate,1624413,33738,296700,14,190494,home,1802710,12897879,verified,186123,60766,Fully Eligible
male,married,2,private,graduate,412314,9563,214234,6,176558,business,779683,2904900,verified,72810,15212,Fully Eligible
male,single,2,private,graduate,504638,9127,272343,11,17244,personal,1562165,9281952,verified,29634,39576,Fully Eligible
female,married,2,government,postgraduate,874418,17827,41072,5,1314,education,1010711,6471502,verified,56022,70143,Fully Eligible
female,married,3,private,postgraduate,1842948,26540,178907,12,70090,personal,1866733,4914756,verified,96023,164285,Fully Eligible
female,single,1,self-employed,non-graduate,1409150,23397,36534,7,99361,personal,372356,2033563,verified,345511,126704,Fully Eligible
female,married,1,private,graduate,2495312,51138,52483,2,105190,car,1851388,10489643,verified,255341,213861,Fully Eligible
male,single,3,private,postgraduate,1189054,24329,399371,8,106425,personal,1471634,8362864,verified,248643,147345,Fully Eligible
male,married,3,self-employed,graduate,2179186,33578,404950,11,173201,business,195009,569530,verified,495479,265370,Fully Eligible
male,married,1,self-employed,graduate,1001828,17426,66899,7,165413,business,1306447,3407789,verified,81670,120302,Fully Eligible
male,married,3,self-employed,non-graduate,314547,7464,11111,6,270655,personal,1525022,6052000,verified,28253,21762,Partially Eligible
female,married,3,government,graduate,2010812,37937,356251,3,121884,personal,238949,1024891,verified,254311,64767,Fully Eligible
male,single,2,private,graduate,2428872,46252,436469,9,258421,business,344074,1108991,unverified,366304,312580,Fully Eligible
male,married,3,private,graduate,1211237,25932,441593,2,50960,business,853355,4307678,verified,190101,171096,Fully Eligible
female,single,2,government,graduate,233588,2395,261689,4,236476,car,855607,3112466,verified,29697,23100,Fully Eligible
female,single,0,private,postgraduate,264202,4504,39420,2,55379,education,1969868,8249132,verified,44186,11745,Partially Eligible
female,married,2,self-employed,non-graduate,577303,14042,101679,6,61357,business,433178,1717168,unverified,113853,28261,Fully Eligible
female,married,2,private,postgraduate,947488,13606,143223,12,102982,education,937468,5962443,unverified,180045,125838,Fully Eligible
male,married,3,private,non-graduate,1625529,21536,147323,7,136050,education,1612329,11101490,verified,91097,178078,Fully Eligible
male,single,1,private,postgraduate,2215138,40655,333312,9,69436,business,1464397,5846404,unverified,373603,131860,Fully Eligible
female,married,0,private,non-graduate,761272,9149,134504,6,168168,car,920833,4036237,verified,146563,39875,Fully Eligible
male,married,0,government,graduate,398742,7017,147146,6,50521,personal,502738,3306189,verified,35940,25938,Fully Eligible
male,single,0,self-employed,non-graduate,1959069,21407,96299,5,116143,home,1192511,7507450,verified,334460,131176,Fully Eligible
male,single,1,self-employed,graduate,1607762,28934,38206,10,256464,personal,1294399,7823306,verified,116024,205933,Fully Eligible
female,single,0,private,non-graduate,414375,7613,14942,11,124774,home,1883438,11374623,verified,75826,57043,Fully Eligible
male,single,0,private,graduate,2170222,33218,343333,12,138781,business,952104,3794986,verified,377795,130647,Fully Eligible
female,married,1,private,postgraduate,812852,11959,154108,10,26376,personal,1104601,7933956,verified,79815,43108,Fully Eligible
male,married,0,private,postgraduate,1445088,17954,105992,4,219755,personal,1354307,8865253,verified,325239,139244,Fully Eligible
male,married,3,private,non-graduate,1251048,17325,399109,10,155929,home,724533,2579090,verified,264366,122728,Fully Eligible
male,married,3,private,postgraduate,1434294,23865,279877,11,269609,car,401836,2334971,verified,283705,82078,Fully Eligible
female,single,2,private,graduate,1541269,19205,488700,4,154662,business,1288008,4217538,unverified,218723,197545,Fully Eligible
male,married,2,private,graduate,461887,9875,65843,4,267580,business,934155,5033391,verified,44054,64852,Fully Eligible
female,single,2,private,graduate,530790,10695,140610,5,64814,business,845933,3337618,verified,109574,21106,Fully Eligible
female,married,3,private,graduate,1852006,23745,276063,1,91049,personal,1431609,4332379,unverified,172069,224336,Fully Eligible
female,single,3,private,graduate,1912737,19045,484194,2,262959,education,1107479,6108720,verified,281912,172491,Fully Eligible
male,married,3,private,graduate,309530,2580,318351,3,50927,home,1123359,7775314,verified,38920,16551,Fully Eligible
male,single,2,government,graduate,2235390,40859,138881,7,272563,personal,1045596,3349622,verified,202078,182205,Fully Eligible
male,single,2,private,non-graduate,1865222,22114,63523,13,122016,car,174283,1219165,verified,322546,169247,Fully Eligible
male,married,2,government,non-graduate,600084,5126,235112,13,205978,car,551157,1730119,verified,147869,60195,Fully Eligible
female,single,2,private,graduate,1255393,17974,176838,1,52066,personal,438717,2724164,verified,182352,42747,Fully Eligible
female,married,2,government,graduate,1129596,27524,423202,3,171630,home,811244,6042138,verified,169333,128311,Fully Eligible
female,single,2,private,graduate,1083068,21479,237431,7,145381,business,1133457,3364553,unverified,134893,98600,Fully Eligible
male,married,3,self-employed,graduate,1170598,26489,24093,6,124681,business,522111,1860467,verified,111975,124994,Fully Eligible
female,single,1,private,graduate,1068589,11482,31660,2,10690,education,1857092,8947055,verified,113820,141037,Fully Eligible
male,single,1,self-employed,graduate,1808987,17284,303021,4,233948,personal,1305049,8075623,verified,407319,177036,Fully Eligible
female,single,2,private,graduate,2483082,21169,374364,1,263311,education,1519090,10617739,verified,595006,341332,Fully Eligible
male,single,1,private,graduate,725446,17600,304616,12,161891,car,1436994,8831115,verified,156149,90802,Fully Eligible
male,single,1,self-employed,graduate,2487697,33177,80832,5,8448,business,1736473,11037203,verified,137542,262605,Fully Eligible
female,single,3,private,graduate,456653,7302,133355,12,154961,business,1281179,6099284,verified,78343,45561,Fully Eligible
female,single,2,government,postgraduate,1968656,29350,368000,2,2435,education,1267024,5421693,verified,314698,161156,Fully Eligible
female,single,2,private,postgraduate,1528854,31353,424296,14,214740,personal,1542035,7770037,verified,313343,207257,Fully Eligible
female,married,1,private,graduate,478930,6465,110520,8,2674,education,872316,5013748,unverified,98713,38131,Fully Eligible
male,married,2,self-employed,graduate,1339509,23116,286662,10,297363,car,1794854,8995289,verified,184346,43524,Fully Eligible
female,single,2,private,graduate,1170494,29176,413378,6,53566,personal,1492674,9630201,verified,125835,39855,Fully Eligible
female,married,2,private,graduate,2217772,34895,25443,12,143826,car,174918,574670,unverified,154047,312854,Fully Eligible
female,married,2,self-employed,graduate,1565750,27433,132454,12,25378,personal,910245,4078752,verified,269723,69294,Fully Eligible
male,single,1,self-employed,graduate,734782,12277,85534,1,140076,education,1940461,5496447,verified,76947,91429,Fully Eligible
male,married,0,government,graduate,762590,16563,486190,14,80952,home,1126779,6599756,verified,185254,100657,Fully Eligible
female,single,1,private,graduate,2233229,28542,89015,2,97656,education,1456864,9156623,verified,132541,214734,Fully Eligible
male,married,3,private,postgraduate,1556260,17389,467927,4,86679,personal,178676,1042918,verified,377950,203550,Fully Eligible
female,single,0,private,graduate,2254579,47124,246784,3,14611,car,520250,3785222,verified,336270,96413,Fully Eligible
male,married,0,private,graduate,1149934,17548,190821,9,41457,education,1714805,12279230,verified,197004,172357,Fully Eligible
male,married,0,self-employed,graduate,1024851,24147,24693,1,22427,personal,1264682,4871655,verified,170849,104194,Fully Eligible
male,single,1,private,graduate,2345981,44736,35294,7,51704,car,1935016,7190256,verified,470466,310505,Fully Eligible
male,single,3,private,non-graduate,763667,13546,309924,9,73879,car,1022505,2685727,verified,52067,47949,Fully Eligible
female,married,1,private,postgraduate,1934938,18396,190576,9,88343,car,578389,2899372,verified,440334,130318,Fully Eligible
female,single,3,self-employed,graduate,1022300,20964,91330,6,124229,personal,1659594,11294532,verified,212852,49509,Fully Eligible
female,married,1,government,postgraduate,1449297,28648,351883,14,214117,car,1479959,4865415,verified,318893,168112,Fully Eligible
male,married,1,self-employed,postgraduate,236861,4500,476179,12,203134,car,1705744,9325135,verified,34836,7776,Fully Eligible
female,married,1,private,graduate,2486168,31819,32029,13,281340,education,256589,1565662,verified,471279,106847,Fully Eligible
female,married,0,self-employed,graduate,2322771,56007,215497,7,121311,car,887774,3851548,verified,328562,117892,Fully Eligible
female,married,1,self-employed,non-graduate,1532549,20987,306918,8,111056,home,264605,1591525,verified,116583,173059,Fully Eligible
male,married,3,private,graduate,220912,2401,470463,3,140740,personal,1139326,7618198,unverified,24388,23975,Fully Eligible
male,single,3,private,graduate,1944270,48192,155214,5,180496,car,539775,1377801,verified,205474,203333,Fully Eligible
male,single,3,private,graduate,1421649,29528,494207,13,163385,car,214078,1322175,verified,118291,113017,Fully Eligible
female,single,0,private,postgraduate,1938277,29551,330836,4,28563,business,1761886,9688955,verified,190461,275513,Fully Eligible
female,married,1,self-employed,non-graduate,605879,14499,475711,9,138578,education,733991,4935488,verified,90701,88189,Fully Eligible
female,married,1,private,postgraduate,1749298,17234,290065,9,197128,car,800927,2557382,verified,235180,130076,Fully Eligible
male,single,2,private,postgraduate,348583,3414,404255,4,189522,education,139867,914101,verified,40377,32470,Fully Eligible
male,married,0,government,non-graduate,1438015,28339,491922,12,138359,education,1097042,3517008,verified,332676,162966,Fully Eligible
female,single,3,self-employed,postgraduate,2133243,24104,336124,14,267141,home,802340,4352220,verified,438897,132584,Fully Eligible
male,single,3,self-employed,postgraduate,900014,21257,132701,2,64739,personal,1994814,7688856,verified,45454,109396,Fully Eligible
male,married,1,private,non-graduate,2167129,48412,417568,1,156564,home,876070,3241490,verified,355565,265130,Fully Eligible
male,single,3,private,graduate,1876351,25217,232085,3,261737,personal,992669,4957092,verified,356459,169068,Fully Eligible
male,married,1,private,postgraduate,1474681,34134,310636,2,182206,business,1907276,11990376,verified,89485,117799,Fully Eligible
female,single,1,private,postgraduate,1569218,14198,111260,5,251519,home,1445582,8277566,verified,114238,167762,Fully Eligible
male,married,2,private,non-graduate,1101149,19245,283351,6,125213,education,1942317,14456298,verified,116405,35191,Fully Eligible
male,married,0,private,non-graduate,834889,19975,273667,14,200529,car,1883576,5830241,verified,144241,110789,Fully Eligible
male,single,1,private,postgraduate,1476333,33349,423345,9,113624,business,502516,3069768,verified,346384,197458,Fully Eligible
male,married,1,private,non-graduate,438738,6259,331723,4,238228,personal,1003598,2787344,verified,64569,39759,Fully Eligible
female,married,1,private,graduate,1703282,19385,166499,4,122428,home,1019644,4371482,verified,419791,54504,Fully Eligible
female,single,2,self-employed,graduate,1207929,14304,463993,4,280573,business,840781,3546000,verified,286699,90075,Fully Eligible
male,single,1,self-employed,graduate,2496455,42211,16003,1,113837,home,1553484,5873826,verified,443050,211237,Fully Eligible
male,married,0,private,graduate,982849,17966,46596,14,59665,education,337726,1743346,verified,139168,128621,Fully Eligible
male,single,0,private,graduate,1451829,12892,238546,3,227133,home,1940691,7215812,verified,270499,49524,Fully Eligible
male,single,3,private,graduate,2483256,37809,265960,4,143091,personal,698910,3031773,verified,517114,225839,Fully Eligible
male,single,0,private,graduate,2108693,46756,281254,14,130528,personal,1797539,12218731,unverified,503164,179542,Fully Eligible
male,single,3,private,non-graduate,353315,5560,328248,1,92844,car,1857301,7649449,verified,70911,19998,Partially Eligible
female,married,0,government,graduate,245915,2742,307742,5,206652,car,802440,5961966,verified,31553,14560,Fully Eligible
male,single,3,government,non-graduate,1455617,35295,455174,10,59450,personal,353485,1371598,verified,216392,145139,Fully Eligible
female,single,1,self-employed,non-graduate,683639,8730,456715,9,96674,personal,1349436,9466319,verified,40610,99978,Fully Eligible
female,single,2,government,graduate,1003811,21722,135177,1,67181,personal,1160447,5403479,verified,55961,125628,Fully Eligible
male,single,2,self-employed,graduate,534545,6181,110748,14,265585,business,198560,1397394,verified,56823,48117,Fully Eligible
female,married,2,private,postgraduate,279146,4294,261107,12,131991,home,1150435,5331074,unverified,58961,27604,Fully Eligible
female,single,1,government,postgraduate,2430855,40126,101076,7,171222,business,282270,1792923,verified,276749,240406,Fully Eligible
female,married,2,private,graduate,1377716,22976,372876,2,169266,education,1691994,7613952,verified,101101,157307,Fully Eligible
female,single,0,self-employed,graduate,1404244,23789,69590,10,13710,car,631687,3540301,verified,170230,98968,Fully Eligible
female,single,3,private,graduate,2040124,24649,486014,12,61439,home,1905053,5253070,verified,226688,226715,Fully Eligible
female,married,1,private,graduate,1592559,26965,89797,11,61737,car,1386564,7619169,verified,394737,96383,Fully Eligible
male,single,2,self-employed,graduate,2420237,39599,20382,9,218259,education,1475309,6018890,verified,591194,305807,Fully Eligible
female,married,0,private,graduate,725924,8574,98440,4,161788,personal,1611801,12058586,verified,143286,103692,Fully Eligible
female,married,0,private,postgraduate,1603058,39760,21170,14,35626,car,185683,1216801,verified,345917,156000,Fully Eligible
female,single,1,private,non-graduate,1919159,43678,292439,3,96975,personal,1194903,3462672,verified,193396,74032,Fully Eligible
male,single,1,private,postgraduate,1390229,32150,353679,12,107716,car,931309,3251523,verified,219009,160457,Fully Eligible
female,married,2,government,non-graduate,1531639,30264,227770,13,43250,education,1713557,9562281,unverified,382448,216413,Fully Eligible
male,single,3,self-employed,postgraduate,807306,8878,312761,11,68286,car,407711,1631716,unverified,92551,115693,Fully Eligible
female,single,2,private,postgraduate,1182159,21044,37539,7,71850,education,1364257,4862917,unverified,292274,164666,Fully Eligible
male,single,2,private,graduate,1904143,41936,380664,6,49905,home,1936052,8283343,verified,166901,185857,Fully Eligible
male,single,1,self-employed,graduate,1416094,12715,411136,11,32716,business,1808828,5482612,verified,246440,198494,Fully Eligible
female,married,2,private,postgraduate,2039994,33858,428308,10,243117,education,420587,2217486,verified,421030,126812,Fully Eligible
female,single,2,private,non-graduate,570302,8517,173411,8,128381,car,293873,1150523,verified,96173,26954,Fully Eligible
male,single,3,private,graduate,1657318,19670,467876,9,140704,home,950341,6495627,verified,185256,144504,Fully Eligible
female,married,0,government,graduate,1814865,26565,12037,12,3371,education,1320584,3517722,verified,386197,61172,Fully Eligible
male,single,0,private,postgraduate,1779667,44002,114317,7,119960,car,1465672,6236008,verified,160791,69889,Fully Eligible
male,single,3,private,graduate,1718282,35031,466012,6,276898,education,1747075,9168653,verified,233784,175548,Fully Eligible
male,married,0,private,graduate,2212852,29487,432768,14,31296,education,1605705,5902280,verified,234447,253332,Fully Eligible
male,single,2,private,postgraduate,1115292,20546,236679,12,97469,personal,1982251,5524060,verified,166265,52021,Fully Eligible
male,married,3,private,graduate,275956,3434,407662,8,182430,car,1520600,4352380,verified,35179,19582,Partially Eligible
female,married,3,private,postgraduate,705487,13061,336939,9,147355,business,948340,3126313,verified,60544,89551,Fully Eligible
male,single,1,private,non-graduate,2064572,48041,289658,14,108426,education,635047,2450935,verified,409564,111722,Fully Eligible
